city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Waite Park,Waite Park,MN,Minnesota,27145,Stearns,27145,Stearns,45.5313,-94.2528,7481,228,polygon,FALSE,TRUE,America/Chicago,3,56387 56301 56388 56399,1840043102
Otsego,Otsego,MN,Minnesota,27171,Wright,27171,Wright,45.266,-93.62,16755,218,polygon,FALSE,TRUE,America/Chicago,3,55301 55330 55362,1840042816
Orr,Orr,MN,Minnesota,27137,St. Louis,27137,St. Louis,48.0594,-92.8248,339,93,polygon,FALSE,TRUE,America/Chicago,3,55771,1840043850
Brooks,Brooks,MN,Minnesota,27125,Red Lake,27125,Red Lake,47.8165,-96.0036,139,46,polygon,FALSE,TRUE,America/Chicago,3,56715,1840042150
Excelsior,Excelsior,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.9014,-93.5665,2307,1436,polygon,FALSE,TRUE,America/Chicago,3,55331,1840042352
Pine Point,Pine Point,MN,Minnesota,27005,Becker,27005,Becker,46.9889,-95.3883,371,39,polygon,FALSE,FALSE,America/Chicago,3,56575,1840110509
Strathcona,Strathcona,MN,Minnesota,27135,Roseau,27135,Roseau,48.5537,-96.167,42,32,polygon,FALSE,TRUE,America/Chicago,3,56759,1840043040
St. Hilaire,St. Hilaire,MN,Minnesota,27113,Pennington,27113,Pennington,48.0135,-96.2137,270,133,polygon,FALSE,TRUE,America/Chicago,3,56754,1840042958
Ottertail,Ottertail,MN,Minnesota,27111,Otter Tail,27111,Otter Tail,46.4267,-95.5638,617,55,polygon,FALSE,TRUE,America/Chicago,3,56571,1840042819
North St. Paul,North St. Paul,MN,Minnesota,27123,Ramsey,27123,Ramsey,45.0137,-92.9995,12444,1680,polygon,FALSE,TRUE,America/Chicago,3,55109,1840042783
Beaver Creek,Beaver Creek,MN,Minnesota,27133,Rock,27133,Rock,43.6124,-96.3624,285,208,polygon,FALSE,TRUE,America/Chicago,3,56116,1840042082
Cottage Grove,Cottage Grove,MN,Minnesota,27163,Washington,27163,Washington,44.8161,-92.9274,36793,422,polygon,FALSE,TRUE,America/Chicago,3,55016 55033,1840043735
Deephaven,Deephaven,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.9293,-93.5239,3911,644,polygon,FALSE,TRUE,America/Chicago,3,55331 55391,1840042274
White Earth,White Earth,MN,Minnesota,27005,Becker,27005,Becker,47.0977,-95.8445,548,61,polygon,FALSE,FALSE,America/Chicago,3,56591 56589 56569,1840110683
Cass Lake,Cass Lake,MN,Minnesota,27021,Cass,27021,Cass,47.3788,-94.5991,757,253,polygon,FALSE,TRUE,America/Chicago,3,56633,1840043620
Williams,Williams,MN,Minnesota,27077,Lake of the Woods,27077,Lake of the Woods,48.768,-94.9533,177,70,polygon,FALSE,TRUE,America/Chicago,3,56686,1840043155
Ashby,Ashby,MN,Minnesota,27051,Grant,27051,Grant,46.0931,-95.8157,439,307,polygon,FALSE,TRUE,America/Chicago,3,56309,1840042054
Spring Lake Park,Spring Lake Park,MN,Minnesota,27003,Anoka,27003|27123,Anoka|Ramsey,45.1161,-93.2451,6502,1258,polygon,FALSE,TRUE,America/Chicago,3,55432,1840043022
Bloomington,Bloomington,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.8306,-93.3151,85866,955,polygon,FALSE,TRUE,America/Chicago,3,55425 55420 55431 55437 55438,1840042123
Isanti,Isanti,MN,Minnesota,27059,Isanti,27059,Isanti,45.4929,-93.2414,5721,486,polygon,FALSE,TRUE,America/Chicago,3,55040,1840042539
Greenwood,Greenwood,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.911,-93.5517,748,817,polygon,FALSE,TRUE,America/Chicago,3,55331,1840042450
Waconia,Waconia,MN,Minnesota,27019,Carver,27019,Carver,44.8413,-93.7926,12289,1025,polygon,FALSE,TRUE,America/Chicago,3,55387,1840043098
Clarks Grove,Clarks Grove,MN,Minnesota,27047,Freeborn,27047,Freeborn,43.7618,-93.329,684,465,polygon,FALSE,TRUE,America/Chicago,3,56016,1840042211
Meire Grove,Meire Grove,MN,Minnesota,27145,Stearns,27145,Stearns,45.6263,-94.8693,190,190,polygon,FALSE,TRUE,America/Chicago,3,56352,1840042704
Calumet,Calumet,MN,Minnesota,27061,Itasca,27061,Itasca,47.3198,-93.2667,354,75,polygon,FALSE,TRUE,America/Chicago,3,55709 55764 55716,1840043618
Preston,Preston,MN,Minnesota,27045,Fillmore,27045,Fillmore,43.6726,-92.0828,1299,203,polygon,FALSE,TRUE,America/Chicago,3,55965,1840042872
Warsaw,Warsaw,MN,Minnesota,27131,Rice,27131,Rice,44.2574,-93.3774,698,312,polygon,FALSE,FALSE,America/Chicago,3,55021 55087,1840117510
Canton,Canton,MN,Minnesota,27045,Fillmore,27045,Fillmore,43.5298,-91.9299,347,131,polygon,FALSE,TRUE,America/Chicago,3,55922,1840042178
Clearwater,Clearwater,MN,Minnesota,27171,Wright,27171|27141,Wright|Sherburne,45.4102,-94.0446,1786,437,polygon,FALSE,TRUE,America/Chicago,3,55320,1840042214
Mayer,Mayer,MN,Minnesota,27019,Carver,27019,Carver,44.8868,-93.8902,2089,579,polygon,FALSE,TRUE,America/Chicago,3,55360,1840042694
